YEAR;MO;DY;HR;WS50M;DATE
2024;1;6;18;2.33;06/01/2024
2024;1;6;19;2.49;06/01/2024
2024;1;6;20;2.39;06/01/2024
2024;1;6;21;1.96;06/01/2024
2024;1;6;22;1.39;06/01/2024
2024;1;6;23;0.97;06/01/2024
2024;1;7;0;0.96;07/01/2024
2024;1;7;1;1.17;07/01/2024
2024;1;7;2;1.35;07/01/2024
2024;1;7;3;1.44;07/01/2024
2024;1;7;4;1.37;07/01/2024
2024;1;7;5;1.07;07/01/2024
2024;1;7;6;0.7;07/01/2024
2024;1;7;7;0.41;07/01/2024
2024;1;7;8;0.06;07/01/2024
2024;1;7;9;0.49;07/01/2024
2024;1;7;10;1.37;07/01/2024
2024;1;7;11;2.43;07/01/2024
2024;1;7;12;3.61;07/01/2024
2024;1;7;13;4.26;07/01/2024
2024;1;7;14;4.44;07/01/2024
2024;1;7;15;4.45;07/01/2024
2024;1;7;16;4.41;07/01/2024
2024;1;7;17;4.3;07/01/2024
2024;1;7;18;4.45;07/01/2024
2024;1;7;19;4.56;07/01/2024
2024;1;7;20;4.68;07/01/2024
2024;1;7;21;4.79;07/01/2024
2024;1;7;22;4.97;07/01/2024
2024;1;7;23;5.15;07/01/2024
2024;1;8;0;5.32;08/01/2024
2024;1;8;1;5.49;08/01/2024
2024;1;8;2;5.47;08/01/2024
2024;1;8;3;5.13;08/01/2024
2024;1;8;4;4.57;08/01/2024
2024;1;8;5;3.96;08/01/2024
2024;1;8;6;3.67;08/01/2024
2024;1;8;7;3.47;08/01/2024
2024;1;8;8;3.35;08/01/2024
2024;1;8;9;2.96;08/01/2024
2024;1;8;10;2.13;08/01/2024
2024;1;8;11;2.0;08/01/2024
2024;1;8;12;2.53;08/01/2024
2024;1;8;13;2.85;08/01/2024
2024;1;8;14;2.96;08/01/2024
2024;1;8;15;3.01;08/01/2024
2024;1;8;16;2.83;08/01/2024
2024;1;8;17;2.77;08/01/2024
2024;1;8;18;2.75;08/01/2024
2024;1;8;19;2.72;08/01/2024
2024;1;8;20;2.72;08/01/2024
2024;1;8;21;2.89;08/01/2024
2024;1;8;22;3.22;08/01/2024
